name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening,newly_added,precautions,any_precautions,earliest,days,reviews_per_day,7/19/2021,7/20/2021,2021-07-21,2021-07-22,2021-07-23,avg_bookings
YUCO,https://www.opentable.com/r/yuco-new-york,1,False,3,16,4.6,4.6,4.8,4.5,4.2,Moderate,100.0,Greenwich Village,"Contemporary Mexican, Mexican, Latin / Spanish",Fine Dining,Business Casual,Christian Ortiz ,"Bar/Lounge, Beer, Chef's Table, Cocktails, Corkage Fee, Counter Seating, Full Bar, Gender Neutral Restroom, Non-Smoking, Wheelchair Access, Wine",Contemporary Mexican,1,0,0,1,True,2,True,6/15/2021,40.0,0.4,15.0,16.0,14.0,18.0,13.0,15.2
Manhattan Indian Flavor,https://www.opentable.com/r/manhattan-indian-flavor-new-york,1,False,2,0,,,,,,,,Union Square,Indian,Casual Dining,Business Casual,,,Indian,0,0,0,0,True,0,False,4/17/2021,99.0,0.0,0.0,1.0,0.0,2.0,1.0,0.8
Anār Indian Cuisine,https://www.opentable.com/restaurant/profile/1143472,1,False,1,0,,,,,,,,Upper West Side,"Indian, Vegetarian / Vegan, Pakistani",Casual Dining,Casual Dress,,"Non-Smoking, Wheelchair Access",Indian,1,1,1,1,True,4,True,7/12/2021,13.0,0.0,5.0,8.0,5.0,,,6.0
Andrews Coffee Shop,https://www.opentable.com/r/andrews-coffee-shop-new-york,1,False,1,6,4.3,4.1,4.7,4.1,4.3,Moderate,100.0,Garment District / Flower District,"American, Comfort Food, Burgers",Casual Dining,Casual Dress,,"Beer, Cafe, Delivery, Gender Neutral Restroom, Gluten-free Menu, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1,True,4,True,5/22/2021,64.0,0.09375,8.0,5.0,8.0,9.0,4.0,6.8
La Pulperia 44 Hell's Kitchen,https://www.opentable.com/r/la-pulperia-44-hells-kitchen-new-york,1,False,1,5,4.7,4.7,4.6,4.6,4.4,Moderate,100.0,Hell's Kitchen,"Latin / Spanish, Argentinean, South American",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Chef's Table, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Latin / Spanish,0,0,0,0,True,0,False,5/8/2021,78.0,0.0641025641025641,5.0,8.0,9.0,6.0,6.0,6.8
Evergreen on 38,https://www.opentable.com/r/evergreen-on-38-new-york,1,False,1,19,4.1,4.2,4.0,3.8,4.0,Moderate,84.0,Garment District / Flower District,"Chinese, Chinese (Shanghai), Dim Sum",Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Full Bar, Gluten-free Menu, Happy Hour, Private Room, Wheelchair Access, Wine",Chinese,0,0,0,0,True,0,False,3/15/2019,863.0,0.0220162224797219,2.0,1.0,0.0,1.0,0.0,0.8
Puttanesca,https://www.opentable.com/r/puttanesca-new-york,1,False,1,7,4.8,4.7,4.9,4.3,4.3,Moderate,100.0,Chelsea,Italian,Casual Dining,Business Casual,,"Cocktails, Delivery, Full Bar, Happy Hour, Non-Smoking, Takeout, Wheelchair Access, Wine",Italian,1,1,1,1,True,4,True,5/9/2021,77.0,0.0909090909090909,2.0,3.0,0.0,1.0,3.0,1.8
The Lobby at Ace Hotel New York,https://www.opentable.com/r/the-lobby-at-ace-hotel-new-york,1,False,1,0,,,,,,,,NoMad,Cocktail Bar,Casual Dining,Business Casual,,"Bar/Lounge, Beer, Cocktails, Full Bar, Wine",Cocktail Bar,1,1,1,1,True,4,True,5/15/2021,71.0,0.0,1.0,4.0,7.0,3.0,4.0,3.8
Primal Cut Grille,https://www.opentable.com/r/primal-cut-grille-new-york,1,False,2,0,,,,,,,,Garment District / Flower District,"Steakhouse, Bar / Lounge / Bottle Service",Elegant Dining,Business Casual,,"Bar/Lounge, Beer, Cocktails, Entertainment, Full Bar, Happy Hour, Late Night, Non-Smoking, Private Room, View, Wheelchair Access, Wine",Steakhouse,1,0,1,1,True,3,True,6/17/2021,38.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6
Momoya,https://www.opentable.com/r/momoya-new-york-2,1,False,2,30,4.7,4.7,4.4,4.3,4.2,Moderate,95.0,Upper West Side,"Japanese, Sushi",Casual Elegant,Smart Casual,Lukai Wataru,"Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Full Bar, Non-Smoking, Outdoor dining, Takeout, Wheelchair Access, Wine",Japanese,1,1,1,1,True,4,True,5/13/2021,73.0,0.410958904109589,58.0,67.0,54.0,55.0,61.0,59.0
L’Adresse NoMad,https://www.opentable.com/r/ladresse-nomad-new-york,1,False,2,0,,,,,,,,NoMad,"American, European",Casual Elegant,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Gender Neutral Restroom, Private Room, Weekend Brunch, Wheelchair Access, Wine",American,1,0,0,0,True,1,True,,,0.0,0.0,,5.0,4.0,2.0,2.75
42nd street Diner & Pizza,https://www.opentable.com/r/42nd-street-diner-and-pizza-new-york,1,False,1,0,,,,,,,,Hell's Kitchen,"Pizzeria, Greek, American",Casual Dining,Casual Dress,,"Beer, Counter Seating, Gluten-free Menu, Takeout, Wheelchair Access, Wine",Pizzeria,0,0,0,0,True,0,False,6/23/2021,32.0,0.0,0.0,,0.0,0.0,0.0,0.0
Coffee + Cocktails,https://www.opentable.com/r/coffee-and-cocktails-new-york,1,False,1,0,,,,,,,,Greenwich Village,"CafÃ©, Cocktail Bar",Casual Elegant,Smart Casual,,"Beer, Cocktails, Full Bar, Gender Neutral Restroom, Wheelchair Access, Wine",CafÃ©,1,0,1,0,True,2,True,,,0.0,1.0,,1.0,1.0,3.0,1.5
Skinny's Cantina on the Hudson,https://www.opentable.com/r/skinnys-cantina-on-the-hudson-new-york,1,False,1,0,,,,,,,,Harlem,"Mexican, Cocktail Bar, Latin / Spanish",Casual Dining,Business Casual,Jefferson MuÃ±oz,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Dancing, Entertainment, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, View, Weekend Brunch, Wheelchair Access, Wine",Mexican,1,0,1,1,True,3,True,7/10/2021,15.0,0.0,22.0,,,,,22.0
Death By Pizza,https://www.opentable.com/r/death-by-pizza-new-york,1,False,1,29,4.5,4.4,4.2,4.3,4.3,Moderate,100.0,Chelsea,"Pizzeria, Italian",Casual Dining,Casual Dress,,"Beer, Cocktails, Delivery, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Pizzeria,1,1,1,1,False,4,True,1/5/2021,201.0,0.1442786069651741,,,,,,
Osteria Nando,https://www.opentable.com/r/osteria-nando-new-york,1,False,2,44,4.5,4.4,4.4,4.4,4.2,Moderate,95.0,Upper East Side,Mediterranean,Casual Elegant,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wine",Mediterranean,0,0,0,0,False,0,False,1/20/2021,186.0,0.2365591397849462,14.0,10.0,11.0,10.0,10.0,11.0
La Grande Boucherie,https://www.opentable.com/r/la-grande-boucherie-new-york,1,False,3,779,4.5,4.4,4.4,4.7,4.0,Moderate,87.0,Rockefeller Center Midtown,"French, Steakhouse",Casual Dining,Smart Casual,Bill Brasile,"Cocktails, Delivery, Full Bar, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",French,1,0,0,0,False,1,True,12/2/2020,235.0,3.3148936170212764,158.0,,209.0,271.0,260.0,224.5
Çka Ka Qellue,https://www.opentable.com/r/cka-ka-qellue-bronx,1,False,1,15,4.7,4.7,4.7,4.6,4.5,Quiet,100.0,Murray Hill,"Eastern European, Mediterranean",Casual Dining,Casual Dress,,"Outdoor dining, Patio/Outdoor Dining",Eastern European,0,0,0,0,False,0,False,12/5/2020,232.0,0.0646551724137931,2.0,,7.0,6.0,6.0,5.25
Mazu Szechuan Cuisine,https://www.opentable.com/r/mazu-szchuan-cuisine-new-york,1,False,1,10,4.8,4.7,4.8,4.5,4.8,Moderate,100.0,Kips Bay,Chinese (Sichuan),Casual Dining,Casual Dress,,"Beer, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Chinese (Sichuan),1,1,1,1,False,4,True,2/26/2021,149.0,0.0671140939597315,5.0,,7.0,4.0,6.0,5.5
PRIME CATCH,https://www.opentable.com/r/prime-catch-new-york,1,False,2,11,4.4,4.5,4.6,4.3,3.9,Quiet,100.0,Midtown West,"Steakhouse, Seafood, Contemporary American",Casual Dining,Smart Casual,,"Bar/Lounge, Beer, Cocktails, Delivery, Entertainment, Fireplace, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wheelchair Access, Wine",Steakhouse,1,1,1,0,False,3,True,1/18/2021,188.0,0.0585106382978723,5.0,,6.0,4.0,2.0,4.25
Mista Oh,https://www.opentable.com/r/mista-oh-new-york,1,False,2,13,4.4,4.5,4.3,4.2,4.3,Moderate,100.0,NoMad,"Korean, Asian, Contemporary Korean",Casual Dining,Business Casual,Mista Oh,"Bar/Lounge, Beer, Beer Garden, Cocktails, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Korean,1,1,1,1,False,4,True,12/31/2020,206.0,0.0631067961165048,9.0,,14.0,16.0,14.0,13.25
Fats Duvall’s Rhum Cafe,https://www.opentable.com/r/fats-duvalls-rhum-cafe-new-york,1,False,2,2,5.0,4.9,5.0,4.9,4.9,Moderate,,SoHo,"Cocktail Bar, Caribbean, Latin / Spanish",Casual Dining,Smart Casual,Monique Cadavona,"Bar/Lounge, Beer, Cafe, Cocktails, Full Bar, Gender Neutral Restroom, Happy Hour, Private Room, Takeout, Wheelchair Access, Wine",Cocktail Bar,1,1,1,1,False,4,True,6/26/2021,29.0,0.0689655172413793,0.0,1.0,2.0,1.0,1.0,1.0
J-Spec,https://www.opentable.com/r/j-spec-new-york,1,False,3,21,4.7,4.7,4.7,4.7,4.4,Quiet,100.0,East Village,Japanese,Casual Dining,Casual Dress,,"Delivery, Gender Neutral Restroom, Non-Smoking, Outdoor dining, Takeout",Japanese,1,1,1,1,False,4,True,11/24/2020,243.0,0.0864197530864197,20.0,,33.0,,18.0,23.666666666666668
Anejo Restaurant,https://www.opentable.com/r/anejo-restaurant-new-york-2,1,False,2,77,4.7,4.7,4.6,4.6,4.4,Moderate,97.0,Hell's Kitchen,Mexican,Casual Dining,Casual Dress,Ricardo Camacho,"Bar/Lounge, Beer, Cocktails, Full Bar, Gender Neutral Restroom, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Mexican,1,1,1,1,False,4,True,11/10/2020,257.0,0.2996108949416342,27.0,,55.0,39.0,60.0,45.25
La Barra at Mercado Little Spain,https://www.opentable.com/r/la-barra-at-mercado-little-spain-new-york,1,False,1,50,4.3,4.4,4.2,4.2,3.9,Moderate,81.0,Hudson Yards,Spanish,Casual Dining,Casual Dress,,"Beer, Cocktails, Non-Smoking, Wine",Spanish,1,1,1,0,False,3,True,11/8/2020,259.0,0.193050193050193,17.0,,35.0,38.0,23.0,28.25
Havana Heights,https://www.opentable.com/r/havana-heights-new-york,1,False,1,7,4.5,4.5,4.5,4.4,4.3,Moderate,80.0,Washington Heights,"Cuban, Caribbean, Latin / Spanish",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Entertainment, Full Bar, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Cuban,1,1,1,1,False,4,True,11/3/2020,264.0,0.0265151515151515,0.0,1.0,1.0,,,0.6666666666666666
Seamore's Market Bar & Restaurant,https://www.opentable.com/r/seamores-market-bar-and-restaurant-new-york,1,False,1,3,4.4,4.9,4.9,4.4,4.9,Moderate,100.0,Midtown West,"Seafood, American, Cocktail Bar",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Wheelchair Access, Wine",Seafood,1,1,1,1,False,4,True,11/19/2020,248.0,0.0120967741935483,1.0,1.0,5.0,2.0,,2.25
Bella Ciao,https://www.opentable.com/r/bella-ciao-new-york,1,False,2,42,4.2,4.2,4.3,4.3,4.2,Moderate,100.0,Little Italy,Italian,Casual Dining,Casual Dress,,,Italian,0,0,0,0,False,0,False,10/23/2020,275.0,0.1527272727272727,0.0,0.0,2.0,0.0,3.0,1.0
Shiraz Kitchen - Chelsea,https://www.opentable.com/r/shiraz-kitchen-chelsea-new-york,1,False,1,43,4.4,4.3,4.6,4.4,4.3,Moderate,94.0,Gramercy / Flatiron,"Mediterranean, Persian",Casual Elegant,Business Casual,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wine",Mediterranean,1,1,1,1,False,4,True,10/22/2020,276.0,0.1557971014492753,1.0,5.0,3.0,5.0,1.0,3.0
NOIR,https://www.opentable.com/r/noir-new-york,1,False,3,17,4.0,4.0,4.1,4.3,3.6,Energetic,60.0,Chelsea,"Asian, Fusion / Eclectic, Bottle Service",Casual Dining,Business Casual,,"Bar/Lounge, Cocktails, Delivery, Full Bar, Late Night, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Asian,1,1,1,1,False,4,True,10/16/2020,282.0,0.0602836879432624,3.0,2.0,2.0,5.0,,3.0
Casa Limone,https://www.opentable.com/r/casa-limone-new-york,1,False,2,34,4.9,4.8,4.9,4.8,4.5,Moderate,100.0,Midtown East,"Mediterranean, Italian",Casual Elegant,Smart Casual,Antonio Alfredo Salvatore,"Bar/Lounge, Beer, Cocktails, Delivery, Entertainment, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Non-Smoking, Takeout, Weekend Brunch, Wheelchair Access, Wine",Mediterranean,1,1,1,1,False,4,True,6/7/2021,48.0,0.7083333333333334,24.0,28.0,40.0,35.0,28.0,31.0
Julius' Bar,https://www.opentable.com/r/julius-bar-new-york,1,False,1,55,4.9,4.7,4.8,4.9,4.9,Moderate,100.0,West Village,American,Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Gender Neutral Restroom, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",American,1,1,1,1,False,4,True,9/25/2020,303.0,0.1815181518151815,1.0,0.0,7.0,4.0,4.0,3.2
Lagos Restaurant and Lounge,https://www.opentable.com/r/lagos-restaurant-and-lounge-new-york,1,False,2,95,4.3,4.3,4.2,4.5,4.2,Moderate,93.0,Midtown East,"West African, Comfort Food, Contemporary American",Casual Elegant,Smart Casual,,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Non-Smoking, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",West African,1,1,1,1,False,4,True,2/26/2021,149.0,0.6375838926174496,19.0,25.0,24.0,28.0,38.0,26.8
Crispin's,https://www.opentable.com/r/crispins-new-york,1,False,2,84,4.5,4.5,4.5,4.4,4.3,Moderate,97.0,Hell's Kitchen,"Italian, Wine Bar, Global, International",Casual Dining,Casual Dress,Crispin Mejia,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,1,1,1,1,False,4,True,9/12/2020,316.0,0.2658227848101265,17.0,16.0,11.0,7.0,10.0,12.1
Shaking Crab - Hell's Kitchen,https://www.opentable.com/r/shaking-crab-hells-kitchen-new-york,1,False,1,37,4.5,4.2,4.6,4.2,4.4,Moderate,93.0,Hell's Kitchen,Seafood,Casual Dining,Business Casual,,,Seafood,0,0,0,0,False,0,False,8/22/2020,337.0,0.1097922848664688,5.0,5.0,8.0,8.0,13.0,7.8
Sushi Teru Omakase,https://www.opentable.com/r/sushi-teru-omakase-new-york,1,False,3,33,4.8,4.9,4.9,4.1,4.2,Quiet,80.0,West Village,"Japanese, Sushi, Asian",Casual Elegant,Smart Casual,Chef Kou,"Beer, Delivery, Gluten-free Menu, Kosher, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wine",Japanese,1,1,1,1,False,4,True,8/9/2020,350.0,0.0942857142857142,1.0,2.0,4.0,2.0,,2.25
Sestina,https://www.opentable.com/r/sestina-new-york,1,False,2,95,4.8,4.8,4.7,4.6,4.5,Moderate,94.0,East Village,"Contemporary Italian, Vegetarian / Vegan, Italian",Casual Dining,Casual Dress,,"Banquet, Cocktails, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Contemporary Italian,1,1,1,1,False,4,True,8/14/2020,345.0,0.2753623188405797,33.0,38.0,25.0,30.0,31.0,31.4
Offside Tavern,https://www.opentable.com/r/offside-tavern-new-york,1,False,1,24,4.1,3.9,4.0,4.0,4.0,Moderate,91.0,Union Square,Sports Bar,Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Entertainment, Full Bar, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wine",Sports Bar,0,0,0,0,False,0,False,8/14/2020,345.0,0.0695652173913043,0.0,0.0,0.0,0.0,0.0,0.0
Kind Regards,https://www.opentable.com/r/kind-regards-new-york,1,False,2,16,4.8,4.3,4.7,4.7,4.5,Moderate,100.0,Lower East Side,"Cocktail Bar, Contemporary American, American",Casual Elegant,Resort Casual,,"Bar/Lounge, Beer, Cocktails, Entertainment, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Wheelchair Access, Wine",Cocktail Bar,1,1,1,1,False,4,True,8/8/2020,351.0,0.0455840455840455,16.0,28.0,13.0,,,19.0
Chelsea House NYC,https://www.opentable.com/r/chelsea-house-nyc-new-york,1,False,1,23,4.5,4.7,4.4,4.5,4.5,Moderate,88.0,Chelsea,"American, Seafood, Cocktail Bar",Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Delivery, Fireplace, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1,False,4,True,11/13/2020,254.0,0.0905511811023622,9.0,6.0,11.0,19.0,23.0,13.6
Dolly Varden,https://www.opentable.com/r/dolly-varden-new-york,1,False,2,18,4.5,4.5,4.5,4.4,4.2,Moderate,90.0,Hell's Kitchen,"Comfort Food, Cocktail Bar, American",Casual Dining,Casual Dress,Edan Garcia,"Bar/Lounge, Beer, Cocktails, Full Bar, Happy Hour, Late Night, Outdoor dining, Outdoor Smoking Area, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Comfort Food,1,1,1,1,False,4,True,3/1/2020,511.0,0.035225048923679,8.0,11.0,12.0,5.0,10.0,9.2
Paisley Restaurant,https://www.opentable.com/r/paisley-restaurant-new-york,1,False,2,92,4.6,4.5,4.5,4.3,4.0,Moderate,92.0,TriBeCa - Downtown,Indian,Casual Elegant,Smart Casual,Chef Peter Beck,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wheelchair Access, Wine",Indian,1,1,1,1,False,4,True,2/7/2020,534.0,0.1722846441947565,8.0,12.0,10.0,8.0,15.0,10.6
Piccola Cucina Uptown,https://www.opentable.com/r/piccola-cucina-uptown-new-york,1,False,1,359,4.8,4.8,4.7,4.6,4.5,Moderate,97.0,Upper East Side,"Italian, Sicilian, Contemporary Italian",Casual Dining,Business Casual,Philip Guardione,"Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Full Bar, Gluten-free Menu, Non-Smoking, Patio/Outdoor Dining, Takeout, View, Weekend Brunch, Wheelchair Access, Wine",Italian,0,0,0,0,False,0,False,3/9/2020,503.0,0.7137176938369781,86.0,93.0,84.0,95.0,79.0,87.4
Wagamama - Midtown,https://www.opentable.com/r/wagamama-midtown-new-york,1,False,1,54,4.5,4.6,4.4,4.4,4.3,Moderate,100.0,Midtown West,"Asian, Teppanyaki",Casual Dining,Casual Dress,,"Beer, Cocktails, Delivery, Full Bar, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Asian,1,1,1,1,False,4,True,2/26/2020,515.0,0.1048543689320388,18.0,25.0,23.0,21.0,19.0,21.2
Tramonti Fifth Ave,https://www.opentable.com/r/tramonti-fifth-ave-new-york,1,False,1,14,4.2,4.1,3.9,3.9,3.9,Moderate,67.0,NoMad,"Wine Bar, Italian, Seafood",Casual Dining,Casual Dress,,,Wine Bar,0,0,0,0,False,0,False,2/25/2020,516.0,0.0271317829457364,4.0,4.0,6.0,3.0,6.0,4.6
Osteria Delbianco,https://www.opentable.com/r/osteria-delbianco-new-york,1,False,2,73,4.8,4.8,4.7,4.6,4.5,Moderate,100.0,Midtown East,Italian,Casual Elegant,Smart Casual,,"Bar/Lounge, Beer, Cocktails, Full Bar, Non-Smoking, Takeout, Wine",Italian,0,0,0,0,False,0,False,1/27/2020,545.0,0.1339449541284403,4.0,17.0,28.0,20.0,18.0,17.4
