name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening,newly_added,precautions
La Pulperia 44 Hell's Kitchen,https://www.opentable.com/r/la-pulperia-44-hells-kitchen-new-york,1,FALSE,1,5,4.7,4.7,4.6,4.6,4.4,Moderate,100,Hell's Kitchen,"Latin / Spanish, Argentinean, South American",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Chef's Table, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Latin / Spanish,0,0,0,0,TRUE,0
Evergreen on 38,https://www.opentable.com/r/evergreen-on-38-new-york,1,FALSE,1,19,4.1,4.2,4,3.8,4,Moderate,84,Garment District / Flower District,"Chinese, Chinese (Shanghai), Dim Sum",Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Full Bar, Gluten-free Menu, Happy Hour, Private Room, Wheelchair Access, Wine",Chinese,0,0,0,0,TRUE,0
Puttanesca,https://www.opentable.com/r/puttanesca-new-york,1,FALSE,1,7,4.8,4.7,4.9,4.3,4.3,Moderate,100,Chelsea,Italian,Casual Dining,Business Casual,,"Cocktails, Delivery, Full Bar, Happy Hour, Non-Smoking, Takeout, Wheelchair Access, Wine",Italian,1,1,1,1,TRUE,4
The Lobby at Ace Hotel New York,https://www.opentable.com/r/the-lobby-at-ace-hotel-new-york,1,FALSE,1,0,,,,,,,,NoMad,Cocktail Bar,Casual Dining,Business Casual,,"Bar/Lounge, Beer, Cocktails, Full Bar, Wine",Cocktail Bar,1,1,1,1,TRUE,4
Primal Cut Grille,https://www.opentable.com/r/primal-cut-grille-new-york,1,FALSE,2,0,,,,,,,,Garment District / Flower District,"Steakhouse, Bar / Lounge / Bottle Service",Elegant Dining,Business Casual,,"Bar/Lounge, Beer, Cocktails, Entertainment, Full Bar, Happy Hour, Late Night, Non-Smoking, Private Room, View, Wheelchair Access, Wine",Steakhouse,1,0,1,1,TRUE,3
Momoya,https://www.opentable.com/r/momoya-new-york-2,1,FALSE,2,30,4.7,4.7,4.4,4.3,4.2,Moderate,95,Upper West Side,"Japanese, Sushi",Casual Elegant,Smart Casual,Lukai Wataru,"Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Full Bar, Non-Smoking, Outdoor dining, Takeout, Wheelchair Access, Wine",Japanese,1,1,1,1,TRUE,4
L’Adresse NoMad,https://www.opentable.com/r/ladresse-nomad-new-york,1,FALSE,2,0,,,,,,,,NoMad,"American, European",Casual Elegant,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Gender Neutral Restroom, Private Room, Weekend Brunch, Wheelchair Access, Wine",American,1,0,0,0,TRUE,1
42nd street Diner & Pizza,https://www.opentable.com/r/42nd-street-diner-and-pizza-new-york,1,FALSE,1,0,,,,,,,,Hell's Kitchen,"Pizzeria, Greek, American",Casual Dining,Casual Dress,,"Beer, Counter Seating, Gluten-free Menu, Takeout, Wheelchair Access, Wine",Pizzeria,0,0,0,0,TRUE,0
Coffee + Cocktails,https://www.opentable.com/r/coffee-and-cocktails-new-york,1,FALSE,1,0,,,,,,,,Greenwich Village,"CafÃ©, Cocktail Bar",Casual Elegant,Smart Casual,,"Beer, Cocktails, Full Bar, Gender Neutral Restroom, Wheelchair Access, Wine",CafÃ©,1,0,1,0,TRUE,2
Skinny's Cantina on the Hudson,https://www.opentable.com/r/skinnys-cantina-on-the-hudson-new-york,1,FALSE,1,0,,,,,,,,Harlem,"Mexican, Cocktail Bar, Latin / Spanish",Casual Dining,Business Casual,Jefferson MuÃ±oz,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Dancing, Entertainment, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, View, Weekend Brunch, Wheelchair Access, Wine",Mexican,1,0,1,1,TRUE,3
Death By Pizza,https://www.opentable.com/r/death-by-pizza-new-york,1,FALSE,1,29,4.5,4.4,4.2,4.3,4.3,Moderate,100,Chelsea,"Pizzeria, Italian",Casual Dining,Casual Dress,,"Beer, Cocktails, Delivery, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Pizzeria,1,1,1,1,FALSE,4
Osteria Nando,https://www.opentable.com/r/osteria-nando-new-york,1,FALSE,2,44,4.5,4.4,4.4,4.4,4.2,Moderate,95,Upper East Side,Mediterranean,Casual Elegant,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wine",Mediterranean,0,0,0,0,FALSE,0
La Grande Boucherie,https://www.opentable.com/r/la-grande-boucherie-new-york,1,FALSE,3,779,4.5,4.4,4.4,4.7,4,Moderate,87,Rockefeller Center Midtown,"French, Steakhouse",Casual Dining,Smart Casual,Bill Brasile,"Cocktails, Delivery, Full Bar, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",French,1,0,0,0,FALSE,1
Çka Ka Qellue,https://www.opentable.com/r/cka-ka-qellue-bronx,1,FALSE,1,15,4.7,4.7,4.7,4.6,4.5,Quiet,100,Murray Hill,"Eastern European, Mediterranean",Casual Dining,Casual Dress,,"Outdoor dining, Patio/Outdoor Dining",Eastern European,0,0,0,0,FALSE,0
Mazu Szechuan Cuisine,https://www.opentable.com/r/mazu-szchuan-cuisine-new-york,1,FALSE,1,10,4.8,4.7,4.8,4.5,4.8,Moderate,100,Kips Bay,Chinese (Sichuan),Casual Dining,Casual Dress,,"Beer, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Chinese (Sichuan),1,1,1,1,FALSE,4
PRIME CATCH,https://www.opentable.com/r/prime-catch-new-york,1,FALSE,2,11,4.4,4.5,4.6,4.3,3.9,Quiet,100,Midtown West,"Steakhouse, Seafood, Contemporary American",Casual Dining,Smart Casual,,"Bar/Lounge, Beer, Cocktails, Delivery, Entertainment, Fireplace, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wheelchair Access, Wine",Steakhouse,1,1,1,0,FALSE,3
Mista Oh,https://www.opentable.com/r/mista-oh-new-york,1,FALSE,2,13,4.4,4.5,4.3,4.2,4.3,Moderate,100,NoMad,"Korean, Asian, Contemporary Korean",Casual Dining,Business Casual,Mista Oh,"Bar/Lounge, Beer, Beer Garden, Cocktails, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Korean,1,1,1,1,FALSE,4
Fats Duvall’s Rhum Cafe,https://www.opentable.com/r/fats-duvalls-rhum-cafe-new-york,1,FALSE,2,2,5,4.9,5,4.9,4.9,Moderate,,SoHo,"Cocktail Bar, Caribbean, Latin / Spanish",Casual Dining,Smart Casual,Monique Cadavona,"Bar/Lounge, Beer, Cafe, Cocktails, Full Bar, Gender Neutral Restroom, Happy Hour, Private Room, Takeout, Wheelchair Access, Wine",Cocktail Bar,1,1,1,1,FALSE,4
J-Spec,https://www.opentable.com/r/j-spec-new-york,1,FALSE,3,21,4.7,4.7,4.7,4.7,4.4,Quiet,100,East Village,Japanese,Casual Dining,Casual Dress,,"Delivery, Gender Neutral Restroom, Non-Smoking, Outdoor dining, Takeout",Japanese,1,1,1,1,FALSE,4
Anejo Restaurant,https://www.opentable.com/r/anejo-restaurant-new-york-2,1,FALSE,2,77,4.7,4.7,4.6,4.6,4.4,Moderate,97,Hell's Kitchen,Mexican,Casual Dining,Casual Dress,Ricardo Camacho,"Bar/Lounge, Beer, Cocktails, Full Bar, Gender Neutral Restroom, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Mexican,1,1,1,1,FALSE,4
La Barra at Mercado Little Spain,https://www.opentable.com/r/la-barra-at-mercado-little-spain-new-york,1,FALSE,1,50,4.3,4.4,4.2,4.2,3.9,Moderate,81,Hudson Yards,Spanish,Casual Dining,Casual Dress,,"Beer, Cocktails, Non-Smoking, Wine",Spanish,1,1,1,0,FALSE,3
Havana Heights,https://www.opentable.com/r/havana-heights-new-york,1,FALSE,1,7,4.5,4.5,4.5,4.4,4.3,Moderate,80,Washington Heights,"Cuban, Caribbean, Latin / Spanish",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Entertainment, Full Bar, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Cuban,1,1,1,1,FALSE,4
Seamore's Market Bar & Restaurant,https://www.opentable.com/r/seamores-market-bar-and-restaurant-new-york,1,FALSE,1,3,4.4,4.9,4.9,4.4,4.9,Moderate,100,Midtown West,"Seafood, American, Cocktail Bar",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Wheelchair Access, Wine",Seafood,1,1,1,1,FALSE,4
Bella Ciao,https://www.opentable.com/r/bella-ciao-new-york,1,FALSE,2,42,4.2,4.2,4.3,4.3,4.2,Moderate,100,Little Italy,Italian,Casual Dining,Casual Dress,,,Italian,0,0,0,0,FALSE,0
Shiraz Kitchen - Chelsea,https://www.opentable.com/r/shiraz-kitchen-chelsea-new-york,1,FALSE,1,43,4.4,4.3,4.6,4.4,4.3,Moderate,94,Gramercy / Flatiron,"Mediterranean, Persian",Casual Elegant,Business Casual,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wine",Mediterranean,1,1,1,1,FALSE,4
NOIR,https://www.opentable.com/r/noir-new-york,1,FALSE,3,17,4,4,4.1,4.3,3.6,Energetic,60,Chelsea,"Asian, Fusion / Eclectic, Bottle Service",Casual Dining,Business Casual,,"Bar/Lounge, Cocktails, Delivery, Full Bar, Late Night, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Asian,1,1,1,1,FALSE,4
Casa Limone,https://www.opentable.com/r/casa-limone-new-york,1,FALSE,2,34,4.9,4.8,4.9,4.8,4.5,Moderate,100,Midtown East,"Mediterranean, Italian",Casual Elegant,Smart Casual,Antonio Alfredo Salvatore,"Bar/Lounge, Beer, Cocktails, Delivery, Entertainment, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Non-Smoking, Takeout, Weekend Brunch, Wheelchair Access, Wine",Mediterranean,1,1,1,1,FALSE,4
Julius' Bar,https://www.opentable.com/r/julius-bar-new-york,1,FALSE,1,55,4.9,4.7,4.8,4.9,4.9,Moderate,100,West Village,American,Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Gender Neutral Restroom, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",American,1,1,1,1,FALSE,4
Lagos Restaurant and Lounge,https://www.opentable.com/r/lagos-restaurant-and-lounge-new-york,1,FALSE,2,95,4.3,4.3,4.2,4.5,4.2,Moderate,93,Midtown East,"West African, Comfort Food, Contemporary American",Casual Elegant,Smart Casual,,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Non-Smoking, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",West African,1,1,1,1,FALSE,4
Crispin's,https://www.opentable.com/r/crispins-new-york,1,FALSE,2,84,4.5,4.5,4.5,4.4,4.3,Moderate,97,Hell's Kitchen,"Italian, Wine Bar, Global, International",Casual Dining,Casual Dress,Crispin Mejia,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,1,1,1,1,FALSE,4
Shaking Crab - Hell's Kitchen,https://www.opentable.com/r/shaking-crab-hells-kitchen-new-york,1,FALSE,1,37,4.5,4.2,4.6,4.2,4.4,Moderate,93,Hell's Kitchen,Seafood,Casual Dining,Business Casual,,,Seafood,0,0,0,0,FALSE,0
Sushi Teru Omakase,https://www.opentable.com/r/sushi-teru-omakase-new-york,1,FALSE,3,33,4.8,4.9,4.9,4.1,4.2,Quiet,80,West Village,"Japanese, Sushi, Asian",Casual Elegant,Smart Casual,Chef Kou,"Beer, Delivery, Gluten-free Menu, Kosher, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wine",Japanese,1,1,1,1,FALSE,4
Sestina,https://www.opentable.com/r/sestina-new-york,1,FALSE,2,95,4.8,4.8,4.7,4.6,4.5,Moderate,94,East Village,"Contemporary Italian, Vegetarian / Vegan, Italian",Casual Dining,Casual Dress,,"Banquet, Cocktails, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Contemporary Italian,1,1,1,1,FALSE,4
Offside Tavern,https://www.opentable.com/r/offside-tavern-new-york,1,FALSE,1,24,4.1,3.9,4,4,4,Moderate,91,Union Square,Sports Bar,Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Entertainment, Full Bar, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wine",Sports Bar,0,0,0,0,FALSE,0
Kind Regards,https://www.opentable.com/r/kind-regards-new-york,1,FALSE,2,16,4.8,4.3,4.7,4.7,4.5,Moderate,100,Lower East Side,"Cocktail Bar, Contemporary American, American",Casual Elegant,Resort Casual,,"Bar/Lounge, Beer, Cocktails, Entertainment, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Wheelchair Access, Wine",Cocktail Bar,1,1,1,1,FALSE,4
Chelsea House NYC,https://www.opentable.com/r/chelsea-house-nyc-new-york,1,FALSE,1,23,4.5,4.7,4.4,4.5,4.5,Moderate,88,Chelsea,"American, Seafood, Cocktail Bar",Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Delivery, Fireplace, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1,FALSE,4
Dolly Varden,https://www.opentable.com/r/dolly-varden-new-york,1,FALSE,2,18,4.5,4.5,4.5,4.4,4.2,Moderate,90,Hell's Kitchen,"Comfort Food, Cocktail Bar, American",Casual Dining,Casual Dress,Edan Garcia,"Bar/Lounge, Beer, Cocktails, Full Bar, Happy Hour, Late Night, Outdoor dining, Outdoor Smoking Area, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Comfort Food,1,1,1,1,FALSE,4
Paisley Restaurant,https://www.opentable.com/r/paisley-restaurant-new-york,1,FALSE,2,92,4.6,4.5,4.5,4.3,4,Moderate,92,TriBeCa - Downtown,Indian,Casual Elegant,Smart Casual,Chef Peter Beck,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wheelchair Access, Wine",Indian,1,1,1,1,FALSE,4
Piccola Cucina Uptown,https://www.opentable.com/r/piccola-cucina-uptown-new-york,1,FALSE,1,359,4.8,4.8,4.7,4.6,4.5,Moderate,97,Upper East Side,"Italian, Sicilian, Contemporary Italian",Casual Dining,Business Casual,Philip Guardione,"Beer, BYO Wine, Cocktails, Corkage Fee, Delivery, Full Bar, Gluten-free Menu, Non-Smoking, Patio/Outdoor Dining, Takeout, View, Weekend Brunch, Wheelchair Access, Wine",Italian,0,0,0,0,FALSE,0
Wagamama - Midtown,https://www.opentable.com/r/wagamama-midtown-new-york,1,FALSE,1,54,4.5,4.6,4.4,4.4,4.3,Moderate,100,Midtown West,"Asian, Teppanyaki",Casual Dining,Casual Dress,,"Beer, Cocktails, Delivery, Full Bar, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Asian,1,1,1,1,FALSE,4
Tramonti Fifth Ave,https://www.opentable.com/r/tramonti-fifth-ave-new-york,1,FALSE,1,14,4.2,4.1,3.9,3.9,3.9,Moderate,67,NoMad,"Wine Bar, Italian, Seafood",Casual Dining,Casual Dress,,,Wine Bar,0,0,0,0,FALSE,0
Osteria Delbianco,https://www.opentable.com/r/osteria-delbianco-new-york,1,FALSE,2,73,4.8,4.8,4.7,4.6,4.5,Moderate,100,Midtown East,Italian,Casual Elegant,Smart Casual,,"Bar/Lounge, Beer, Cocktails, Full Bar, Non-Smoking, Takeout, Wine",Italian,0,0,0,0,FALSE,0
Vicolina,https://www.opentable.com/r/vicolina-new-york,1,FALSE,2,216,4.5,4.5,4.5,4.5,3.8,Moderate,79,Upper East Side,"Italian, Contemporary Italian, Seafood",Casual Elegant,Business Casual,,"Beer, Cafe, Cocktails, Delivery, Gluten-free Menu, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,1,0,1,0,FALSE,2
The Restaurant,https://www.opentable.com/r/the-restaurant-new-york,1,FALSE,2,34,4.6,4.8,4.6,4.7,4.6,Moderate,92,Hell's Kitchen,"Contemporary American, Cocktail Bar",Casual Elegant,Smart Casual,Kenyon Hart,"Banquet, Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Private Room, Takeout, Wheelchair Access, Wine",Contemporary American,1,1,1,1,FALSE,4
Osteria Laura NYC,https://www.opentable.com/r/osteria-laura-nyc-new-york,1,FALSE,2,15,4.6,4.7,4.6,4.3,4.6,Moderate,50,Harlem,"Italian, American",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cafe, Cocktails, Counter Seating, Delivery, Entertainment, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,1,1,1,1,FALSE,4
Carnegie Diner & Cafe,https://www.opentable.com/r/carnegie-diner-and-cafe-new-york,1,FALSE,1,42,4.4,4.3,4.3,4.3,4.2,Moderate,100,Midtown West,"American, Breakfast, Comfort Food",Casual Dining,Casual Dress,Antonakopoulos Stathis,"Banquet, Bar/Lounge, Beer, Cafe, Cocktails, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,1,0,0,0,FALSE,1
Westville Hell's Kitchen,https://www.opentable.com/r/westville-hells-kitchen-new-york,1,FALSE,1,25,4.8,4.8,4.9,4.5,4.5,Moderate,100,Hell's Kitchen,"American, Comfort Food",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",American,0,0,0,0,FALSE,0
PASTA EATER,https://www.opentable.com/r/pasta-eater-new-york,1,FALSE,2,40,4.6,4.6,4.6,4.2,4.3,Moderate,100,Gramercy / Flatiron,"Italian, Mediterranean, Home cooking",Casual Dining,Casual Dress,Luigi Cetrulo,"Bar/Lounge, Beer, Cocktails, Full Bar, Gender Neutral Restroom, Gluten-free Menu, Happy Hour, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Italian,1,1,1,1,FALSE,4
Tandoor Oven,https://www.opentable.com/r/tandoor-oven-new-york,1,FALSE,1,15,4.4,4.3,4.6,4.3,4.4,Quiet,100,Upper East Side,"Contemporary Indian, Indian",Elegant Dining,Business Casual,Nimma Reddy,"Beer, Cocktails, Corkage Fee, Delivery, Full Bar, Non-Smoking, Private Room, Takeout, Wheelchair Access, Wine",Contemporary Indian,0,0,0,0,FALSE,0
Gyu-Kaku - Manhattan - Amsterdam Ave.,https://www.opentable.com/r/gyu-kaku-manhattan-amsterdam-ave-new-york,1,FALSE,1,101,4.7,4.6,4.4,4.4,4.5,Moderate,95,Upper West Side,Japanese,Casual Dining,Casual Dress,,,Japanese,0,0,0,0,FALSE,0
Wolfgang's Steakhouse - Broadway  (37th St.),https://www.opentable.com/r/wolfgangs-steakhouse-broadway-37th-st-new-york,1,FALSE,2,120,4.7,4.7,4.8,4.7,4.4,Moderate,92,Midtown West,Steakhouse,Casual Dining,Smart Casual,,"Banquet, Bar/Lounge, Beer, Cocktails, Full Bar, Non-Smoking, Private Room, Wheelchair Access, Wine",Steakhouse,0,0,0,0,FALSE,0
Giardino 54,https://www.opentable.com/r/giardino-54-new-york,1,FALSE,1,28,4.7,4.6,4.7,4.6,4.4,Moderate,95,Hell's Kitchen,Italian,Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Wheelchair Access, Wine",Italian,0,0,0,0,FALSE,0
